"Incident_ID","Incident_Date","Incident_Time","State_Name","City_or_County","Business_or_Location_Name","Address","Latitude","Longitude","Victims_Killed","Victims_Injured","Suspects_Killed","Suspects_Injured","Suspects_Arrested","Incident_Characteristics","Year","Month","Day"
2786253,2023-12-23,"11:15 PM","Texas","Fort Worth","","9325 Cynthia Ct",32.6187,-97.2965,1,4,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","12",23
2785646,2023-12-23,"4:05 AM","Maryland","Gwynn Oak (Woodlawn)","Security Plaza","1808 Woodlawn Dr",39.3166,-76.7378,1,4,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","12",23
2784986,2023-12-22,"3:15 PM","New York","Corona (Queens)","","117-29 143rd St",40.6783,-73.7976,1,3,0,0,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Gang involvement","2023","12",22
2784291,2023-12-21,"11:49 AM","District of Columbia","Washington","","1399 Half St SW",38.8731,-77.0109,2,2,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Drive-by (car to street, car to car)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","12",21
2783287,2023-12-20,"7:00 PM","Pennsylvania","Philadelphia","","7300 block of Chelwynde Ave",39.9118,-75.24,1,3,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","12",20
2780660,2023-12-17,"2:30 AM","South Carolina","Ridgeland","Sports Baba Bar","51 Riverwalk Blvd",32.3203,-80.9373,2,2,0,0,3,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Bar/club incident - in or around establishment
Gang involvement
Possession of gun by felon or prohibited person","2023","12",17
2781391,2023-12-17,"","Alabama","Gainestown","","Walker Springs Rd and Wooded Acres Rd",31.4765,-87.7407,0,4,0,0,1,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","12",17
2779489,2023-12-15,"12:05 AM","Tennessee","Memphis","Miracle-Perfection Hand Carwash and Detailing","3941 Riverdale Rd",35.0408,-89.8317,2,3,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Gang involvement","2023","12",15
2779676,2023-12-15,"2:23 PM","California","Los Angeles","Bargain Plus Store","238 E El Segundo Blvd",33.9161,-118.27,1,4,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","12",15
2779098,2023-12-14,"8:50 PM","Illinois","Ashland","","308 Philadelphia Rd",39.921,-90.1188,3,1,1,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Suicide^
Murder/Suicide
Spree Shooting (multiple victims, multiple locations)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Domestic Violence
Family annihilation","2023","12",14
2778224,2023-12-12,"4:00 PM","Indiana","Madison","","1623 E Telegraph Hill Rd",38.7471,-85.3537,4,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)
Child Involved Incident
Child killed (not child shooter)
Mass Murder (4+ deceased victims excluding the subject/suspect/perpetrator , one location)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Family annihilation","2023","12",12
2775971,2023-12-11,"10:03 AM","Nevada","Las Vegas","Loreto and Palacio Apartments","7545 Oso Blanca Rd",36.2975,-115.291,3,1,1,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Suicide^
Murder/Suicide
Child Involved Incident
Child killed (not child shooter)
Child injured (not child shooter)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Domestic Violence
Family annihilation","2023","12",11
2775245,2023-12-10,"4:12 AM","Pennsylvania","Philadelphia","","2200 block of N Chadwick St",39.9869,-75.1605,2,2,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","12",10
2775006,2023-12-09,"6:25 PM","Georgia","Atlanta","3005 Buckhead","3005 Peachtree Rd NE",33.8393,-84.3795,3,1,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Shootout (where VENN diagram of shooters and victims overlap)
Drug involvement","2023","12",9
2773914,2023-12-06,"11:40 PM","Colorado","Peyton","","21885 Akawi Way",39.0936,-104.419,3,1,1,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Suicide^
Murder/Suicide
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Domestic Violence
Family annihilation","2023","12",6
2772021,2023-12-06,"11:46 AM","Nevada","Las Vegas","University of Nevada, Las Vegas","4505 S Maryland Pkwy",36.1077,-115.138,3,1,1,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Officer Involved Incident
Officer Involved Shooting - subject/suspect/perpetrator killed
School Incident
School Shooting - university/college
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Workplace shooting (disgruntled current or former employee)
LOCKDOWLERT ONLY:  No GV Incident Occurred Onsite","2023","12",6
2771255,2023-12-05,"10:40 AM","Texas","Austin","Northeast Early College High School","7104 Berkman Dr",30.3242,-97.691,6,3,0,0,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Home Invasion
Home Invasion - Resident killed
Officer Involved Incident
Officer Involved Shooting - Officer shot
School Incident
School Shooting - elementary/secondary school
Spree Shooting (multiple victims, multiple locations)
Mass Murder (4+ deceased victims excluding the subject/suspect/perpetrator , one location)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Domestic Violence
Family annihilation
Armed robbery with injury/death and/or evidence of DGU found
Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )","2023","12",5
2770296,2023-12-04,"4:30 AM","South Carolina","Lugoff","","I-20",34.1612,-80.7245,1,4,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","12",4
2769819,2023-12-03,"4:20 PM","Texas","Dallas","","9700 block of Royce Dr",32.6798,-96.6557,4,1,1,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Suicide^
Murder/Suicide
Child Involved Incident
Child killed (not child shooter)
Mass Murder (4+ deceased victims excluding the subject/suspect/perpetrator , one location)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Possession of gun by felon or prohibited person
Stolen/Illegally owned gun{s} recovered during arrest/warrant","2023","12",3
2769728,2023-12-03,"1:47 AM","Texas","Houston","Legends Lounge","4913 Griggs Rd",29.6998,-95.3412,1,3,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Bar/club incident - in or around establishment
House party / Block Party / Park Party","2023","12",3
2770132,2023-12-03,"1:06 PM","Washington","Vancouver","","11511 NE 92nd St",45.6891,-122.554,4,0,1,0,0,"Shot - Dead (murder, accidental, or suicide)
Suicide^
Murder/Suicide
Mass Murder (4+ deceased victims excluding the subject/suspect/perpetrator , one location)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Domestic Violence
Family annihilation","2023","12",3
2769880,2023-12-02,"4:30 AM","Ohio","Columbus","","400 block of N Ohio Ave",39.9733,-82.9699,0,4,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","12",2
2770501,2023-12-02,"3:24 AM","Ohio","Cleveland","","2200 block of St Clair Ave",41.5093,-81.6784,0,4,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","12",2
2769181,2023-12-02,"4:20 AM","California","Fresno","","4300 block of E Olive Ave",36.7574,-119.753,2,2,0,0,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","12",2
2769379,2023-12-02,"12:15 AM","Colorado","Aurora","","1300 block of Joliet St",39.7366,-104.861,0,4,0,0,1,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","12",2
2769574,2023-12-02,"6:45 PM","Mississippi","Mccomb","Petro Plus","560 Presley Blvd",31.2269,-90.463,0,5,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party
Gang involvement","2023","12",2
2768663,2023-12-01,"5:30 PM","Nevada","Las Vegas","","E Charleston Blvd and N Honolulu St",36.1589,-115.094,1,4,0,0,2,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","12",1
2767813,2023-11-29,"9:30 PM","North Carolina","Lexington","","7000 block of NC-8",35.7161,-80.2682,0,5,0,0,1,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Possession of gun by felon or prohibited person","2023","11",29
2767246,2023-11-29,"8:33 PM","Illinois","Chicago","","3600 block of W Flournoy St",41.873,-87.7158,1,3,0,0,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Domestic Violence","2023","11",29
2764105,2023-11-26,"2:30 AM","North Carolina","Winston Salem (Winston-salem)","The Spott Bar and Lounge","3533 N Glenn Ave",36.1459,-80.2268,0,4,0,1,1,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Bar/club incident - in or around establishment","2023","11",26
2764540,2023-11-26,"3:00 AM","California","Los Angeles","","836 W 110th St",33.9355,-118.291,4,0,0,0,1,"Shot - Dead (murder, accidental, or suicide)
Home Invasion
Home Invasion - Resident killed
Spree Shooting (multiple victims, multiple locations)
Mass Murder (4+ deceased victims excluding the subject/suspect/perpetrator , one location)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Possession of gun by felon or prohibited person","2023","11",26
2766505,2023-11-25,"5:30 AM","California","Fontana","","15500 block of Eastwind Ave",34.1292,-117.466,3,1,0,0,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Spree Shooting (multiple victims, multiple locations)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Gang involvement
Domestic Violence
Possession of gun by felon or prohibited person","2023","11",25
2763545,2023-11-23,"9:30 PM","Tennessee","Memphis","","2707 Kimball Ave",35.0948,-89.9725,0,4,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","11",23
2762964,2023-11-23,"3:00 AM","Georgia","Decatur","","3000 block of Cascade Manor Dr",33.6978,-84.2499,0,4,0,0,0,"Shot - Wounded/Injured
Drive-by (car to street, car to car)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","11",23
2762712,2023-11-23,"12:10 AM","Illinois","Chicago","","2000 block of W Monroe St",41.88,-87.6772,0,5,0,0,0,"Shot - Wounded/Injured
Drive-by (car to street, car to car)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","11",23
2762803,2023-11-22,"11:44 PM","North Carolina","Lumberton","Adelio's Restaurant and Bar","111 W 3rd St",34.6188,-79.0081,0,6,0,0,1,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Bar/club incident - in or around establishment","2023","11",22
2762681,2023-11-22,"12:00 PM","Mississippi","Goodman","","7213 US-51",32.9708,-89.9117,1,3,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Drive-by (car to street, car to car)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","11",22
2761566,2023-11-21,"8:30 PM","Pennsylvania","Philadelphia","","3200 block of Fairhill St",40.0001,-75.1401,2,5,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Shootout (where VENN diagram of shooters and victims overlap)
Drug involvement","2023","11",21
2760537,2023-11-20,"8:30 PM","Ohio","Fairborn (Beavercreek)","Walmart","3360 Pentagon Blvd",39.7706,-84.0575,0,4,1,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Suicide^
Attempted Murder/Suicide (one variable unsuccessful)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)","2023","11",20
2760730,2023-11-20,"1:00 PM","Colorado","Westcliffe","","173 Rocky Ridge Rd",38.2155,-105.361,3,1,0,0,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","11",20
2759654,2023-11-19,"12:20 AM","Texas","Port Arthur","","4400 block of Griffing Dr",29.9198,-93.9219,0,5,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","11",19
2758871,2023-11-18,"5:43 PM","Tennessee","Memphis","","3636 Field Lark Dr",35.0484,-90.1023,4,1,1,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Suicide^
Murder/Suicide
Spree Shooting (multiple victims, multiple locations)
Mass Murder (4+ deceased victims excluding the subject/suspect/perpetrator , one location)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Domestic Violence
Family annihilation
Possession of gun by felon or prohibited person","2023","11",18
2759002,2023-11-18,"7:29 PM","Arkansas","Little Rock","West Park Executive Building","7101 W 12th St",34.7415,-92.353,1,3,0,0,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Possession of gun by felon or prohibited person","2023","11",18
2759046,2023-11-18,"8:15 PM","California","Spring Valley","","9034 Ildica St",32.7287,-117.006,0,5,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","11",18
2757292,2023-11-16,"4:30 PM","Ohio","Willoughby","Mentor Green Mobile Home Park","7166 Mentor Ave",41.647,-81.3841,3,1,1,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Suicide^
Murder/Suicide
Officer Involved Incident
Officer Involved Shooting - subject/suspect/perpetrator killed
Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","11",16
2755393,2023-11-14,"6:20 PM","Massachusetts","Springfield","Morgan Manor Apartments","31 Morgan St",42.1123,-72.6023,1,3,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","11",14
2753283,2023-11-12,"1:39 AM","Washington","Puyallup","","11500 152nd St E",47.1183,-122.276,0,6,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","11",12
2753565,2023-11-12,"5:34 PM","Texas","Pearland","Cole's Antique Village & Flea Market","1014 N Main St",29.5954,-95.287,1,4,0,0,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Child Involved Incident
Child killed (not child shooter)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Shootout (where VENN diagram of shooters and victims overlap)","2023","11",12
2753236,2023-11-11,"11:01 PM","Virginia","Portsmouth","","3500 block of Commonwealth Ave",36.8232,-76.3445,0,4,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Gang involvement","2023","11",11
2752316,2023-11-10,"4:40 PM","Alabama","Birmingham","","I-59 and Bush Blvd",33.5109,-86.8774,0,4,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Shootout (where VENN diagram of shooters and victims overlap)","2023","11",10
2752208,2023-11-10,"2:20 PM","Missouri","Independence","Independence Center","18801 East 39th St S",39.0455,-94.3581,0,4,0,0,1,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","11",10
2747768,2023-11-05,"12:30 AM","Arizona","Phoenix","","4300 N 21st Dr",33.4987,-112.105,0,4,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","11",5
2747938,2023-11-05,"1:20 AM","Indiana","Indianapolis","GZ Karaoke Club","5905 Madison Ave",39.6808,-86.1299,1,5,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Bar/club incident - in or around establishment","2023","11",5
2748473,2023-11-05,"10:45 PM","Texas","Hempstead","","35028 Cameron Rd",30.1027,-95.97,0,7,0,0,0,"Shot - Wounded/Injured
Child Involved Incident
Child injured (not child shooter)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","11",5
2748157,2023-11-05,"4:00 PM","Georgia","Atlanta","","1090 Redford Dr SE",33.687,-84.3554,0,6,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","11",5
2748070,2023-11-05,"1:30 AM","Washington","Tacoma","Alley Cat Patio and Lounge","2708 6th Ave",47.2554,-122.472,2,3,0,0,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Bar/club incident - in or around establishment","2023","11",5
2747734,2023-11-05,"3:00 AM","Colorado","Denver","Hell's Lovers Motorcycle Club","5514 E 33rd Ave",39.7635,-104.923,2,3,0,2,2,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Shootout (where VENN diagram of shooters and victims overlap)
Bar/club incident - in or around establishment
House party / Block Party / Park Party
Gang involvement","2023","11",5
2747153,2023-11-04,"2:45 AM","Ohio","Cleveland (Richmond Heights)","Richmond Place Condominium","500 block of Towne Ln",41.5495,-81.5191,1,3,0,0,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party
Possession of gun by felon or prohibited person","2023","11",4
2748287,2023-11-04,"10:50 PM","Texas","Galveston","","2100 block of The Strand",29.3079,-94.7923,0,6,0,0,1,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Gang involvement","2023","11",4
2746785,2023-11-03,"9:30 PM","Ohio","Cincinnati","","Jones St and Wade St",39.1123,-84.524,1,5,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Child Involved Incident
Child killed (not child shooter)
Drive-by (car to street, car to car)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","11",3
2744799,2023-11-01,"1:30 AM","Texas","Dallas","","2300 block of 2nd Ave",32.7701,-96.7551,0,5,0,0,0,"Shot - Wounded/Injured
Drive-by (car to street, car to car)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","11",1
2745105,2023-10-31,"11:30 PM","California","Salinas","","301 Chaparral St",36.7031,-121.646,0,7,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","10",31
2743289,2023-10-30,"3:18 AM","Minnesota","Minneapolis","","901 Cedar Ave",44.9638,-93.2469,0,4,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","10",30
2743711,2023-10-29,"12:20 AM","North Carolina","Wilson","Wilson County Fairgrounds","2331 US-301 S",35.6983,-77.9314,0,4,0,0,1,"Shot - Wounded/Injured
Child Involved Incident
Child injured (not child shooter)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party
Criminal act with stolen gun
Stolen/Illegally owned gun{s} recovered during arrest/warrant","2023","10",29
2742403,2023-10-29,"1:15 AM","Kansas","Dodge City","Central Station Bar and Grill","207 E Wyatt Earp Blvd",37.7524,-100.014,2,2,0,0,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Bar/club incident - in or around establishment","2023","10",29
2742030,2023-10-29,"2:47 AM","Florida","Tampa","","1600 block of E 7th Ave",27.9603,-82.4414,2,15,0,0,3,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Shootout (where VENN diagram of shooters and victims overlap)
Bar/club incident - in or around establishment
Criminal act with stolen gun
Possession of gun by felon or prohibited person
Stolen/Illegally owned gun{s} recovered during arrest/warrant","2023","10",29
2742012,2023-10-29,"12:30 AM","Indiana","Indianapolis","Beauty Club LLC","5172 E 65th St",39.8762,-86.081,1,9,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","10",29
2742160,2023-10-29,"5:00 AM","Georgia","Atlanta","RaceTrac","120 Piedmont Ave NE",33.7574,-84.3823,1,3,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)","2023","10",29
2742143,2023-10-29,"1:00 AM","Illinois","Chicago","Studio 1258","1258 S Pulaski Rd",41.8645,-87.7254,0,15,0,0,1,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Bar/club incident - in or around establishment
House party / Block Party / Park Party
Possession of gun by felon or prohibited person","2023","10",29
2743269,2023-10-29,"","Mississippi","Wiggins","Club 195","195 Old Hwy 49 S",30.9243,-89.1724,1,3,0,0,2,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Bar/club incident - in or around establishment
Possession of gun by felon or prohibited person","2023","10",29
2743031,2023-10-29,"10:27 PM","California","Azusa","","5400 block of N Banewell Ave",34.1113,-117.913,0,4,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","10",29
2742572,2023-10-28,"11:30 PM","New Mexico","Las Cruces","","3000 block of Dyer St",32.3053,-106.733,0,7,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","10",28
